지점,지점명,일시,평균기온(°C),합계 강수량(mm),평균 상대습도(%),합계 일조시간(hr)
130,울진,2023,14.1,1317,66.2,2560.4
131,청주,2008,13.4,892.3,62.3,2054.7
131,청주,2009,13,1019.8,61.3,2071
131,청주,2010,13,1422.4,65.3,1888.1
131,청주,2011,12.8,1805.6,64.6,1962.7
131,청주,2012,12.7,1387.6,63.7,2066.9
131,청주,2013,13.3,1240.7,65.1,2354.6
131,청주,2014,13.9,913.7,62.8,2289.1
131,청주,2015,14,756.9,59.1,2411.9
131,청주,2016,13.9,938,58.9,2468.3
131,청주,2017,13.4,1301.2,57.7,2693.5
131,청주,2018,13.5,1381.6,60.2,2640.8
131,청주,2019,14.2,856.7,61.2,2432.2
131,청주,2020,13.9,1358.6,62.9,2319.9
131,청주,2021,14.4,1001.6,62.5,2372.2
131,청주,2022,13.9,1236.4,59.5,2535.7
131,청주,2023,14.8,1805.6,60.8,2170.2
133,대전,2008,13,1037.6,63.3,2117.9
133,대전,2009,12.8,1090.4,63.4,2180.4
133,대전,2010,12.7,1419.7,66.6,1985.3
133,대전,2011,12.6,1943.4,64.4,2048.7
133,대전,2012,12.6,1409.5,67.8,2367.6
133,대전,2013,13.1,1120.2,73.2,2513.1
133,대전,2014,13.4,1117.7,72.4,2378.3
133,대전,2015,14,822.7,70,2417.9
133,대전,2016,14,1228.4,70,2440.1
133,대전,2017,13.4,1127.5,68.2,2632
133,대전,2018,13.5,1542.1,68.9,2542.1
133,대전,2019,14,984.2,68.8,2474.3
133,대전,2020,13.7,1614,70.8,2394.5
133,대전,2021,14.3,1109.5,71.8,2354.3
133,대전,2022,13.5,1203.1,62.3,2342.9
133,대전,2023,14,2042.5,64.6,2309.9
135,추풍령,2008,12,818.5,66.8,2112.5
135,추풍령,2009,12,1010.7,65.4,2134.5
135,추풍령,2010,11.6,1260.4,70,2026.4
135,추풍령,2011,11.5,1401.8,67.4,2107.7
135,추풍령,2012,11.2,1465.8,67.7,2279.7
135,추풍령,2013,11.8,920.6,67.3,2170.6
135,추풍령,2014,11.7,1136.4,66.2,2253.6
135,추풍령,2015,12.2,829,66.2,2315.2
135,추풍령,2016,12.4,1147.1,65.8,2309.2
135,추풍령,2017,11.9,921.8,62.8,2574.7
135,추풍령,2018,11.9,1304.2,63.5,2527.8
135,추풍령,2019,12.4,1164.1,62.7,2549.1
135,추풍령,2020,12,1554,64.8,2167.5
135,추풍령,2021,12.3,1129.1,67,2121.8
135,추풍령,2022,12,928.6,63.4,2338
135,추풍령,2023,12.8,1551.5,67.2,2284.8
136,안동,2008,12.5,737.9,66.6,2202.6
136,안동,2009,12.5,1058.5,65,2186.3
136,안동,2010,12.2,1073.8,66.8,2030.6
136,안동,2011,12.2,1251.5,64.8,2129.7
136,안동,2012,12.2,1047,64.7,2221.6
136,안동,2013,12.4,979.9,65.5,2527.1
136,안동,2014,12.5,960.4,63.1,2434.1
136,안동,2015,12.9,755.1,63.8,2604
