지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),합계 일조시간(hr)
93,북춘천,2017-12,-4.3,67,24.5,183.8
93,북춘천,2018-01,-6,60,6.5,203
93,북춘천,2018-02,-3.4,53,33,214.2
93,북춘천,2018-03,7,61,32,204.3
93,북춘천,2018-04,12,60,117.2,218.7
93,북춘천,2018-05,17.2,66,200.5,233.2
93,북춘천,2018-06,22.6,63,88.6,252.8
93,북춘천,2018-07,26.3,71,189.7,243.9
93,북춘천,2018-08,26.9,69,354.6,223
93,북춘천,2018-09,19.1,72,63,205.5
93,북춘천,2018-10,10.3,75,102.6,200.3
93,북춘천,2018-11,5.1,75,56.9,148.2
93,북춘천,2018-12,-3.2,62,17.3,194.9
93,북춘천,2019-01,-3.9,56,.2,228.9
93,북춘천,2019-02,-.6,59,27.5,201.8
93,북춘천,2019-03,5,58,30.9,199.4
93,북춘천,2019-04,10.6,57,49.7,205.8
93,북춘천,2019-05,18.3,55,31.4,298.6
93,북춘천,2019-06,21.4,72,88.7,235
93,북춘천,2019-07,25,78,252.2,140.5
93,북춘천,2019-08,25.6,80,186.6,220.9
93,북춘천,2019-09,20.7,80,147.9,138.1
93,북춘천,2019-10,14,78,48.4,189.2
93,북춘천,2019-11,4.9,76,57.8,167.3
93,북춘천,2019-12,-.7,74,10.5,143.2
93,북춘천,2020-01,-.7,73,55.9,187.4
93,북춘천,2020-02,.7,69,35.3,183.5
93,북춘천,2020-03,6.1,57,13.7,238.5
93,북춘천,2020-04,9.7,52,17,257.6
93,북춘천,2020-05,17.4,72,122.2,193.7
93,북춘천,2020-06,23.5,72,79.1,225.2
93,북춘천,2020-07,23.3,81,183.6,140.4
93,북춘천,2020-08,25.6,90,821.2,92.3
93,북춘천,2020-09,19,84,153.1,162.6
93,북춘천,2020-10,10.9,78,.3,221.5
93,북춘천,2020-11,5.3,73,75.2,181.1
93,북춘천,2020-12,-3.6,69,4.8,197.9
93,북춘천,2021-01,-5.7,68,14.3,181.6
93,북춘천,2021-02,.4,61,5.6,210.7
93,북춘천,2021-03,7.1,68,100.1,217.1
